"HDI Rank","Country","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2007-2018",""
"Multidimensional poverty index (MPI)
null
Dimension: Poverty
Definition: Percentage of the population that is multidimensionally poor adjusted by the intensity of the deprivations. See Technical note 5 at http:// hdr.undp.org/sites/default/files/hdr2019_technical_ notes.pdf for details on how the Multidimensional Poverty Index is calculated.
Source: HDRO calculations based on data on household deprivations in health, education, and standard of living from various household surveys listed in column 1 using a revised methodology described in Technical note 5 (available at http:// hdr.undp.org/sites/default/files/hdr2019_technical_ notes.pdf)."
"170"," Afghanistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.272","a,b","..","","..","","0.272","a,b"
"69"," Albania","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.003","a","0.003","a"
"82"," Algeria","..","","..","","..","","..","","..","","..","","0.008","a","..","","..","","..","","..","","..","","0.008","a"
"149"," Angola","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.282","a","..","","..","","0.282","a"
"81"," Armenia","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.001","a","..","","..","","0.001","a"
"135"," Bangladesh","..","","..","","..","","..","","..","","..","","..","","0.198","a","..","","..","","..","","..","","0.198","a"
"56"," Barbados","..","","..","","..","","..","","..","","0.009","a,c","..","","..","","..","","..","","..","","..","","0.009","a,c"
"103"," Belize","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.017","a","..","","..","","0.017","a"
"163"," Benin","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.368","a","0.368","a"
"134"," Bhutan","..","","..","","..","","0.175","a,d","..","","..","","..","","..","","..","","..","","..","","..","","0.175","a,d"
"114"," Bolivia (Plurinational State of)","..","","0.094","a","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.094","a"
"75"," Bosnia and Herzegovina","..","","..","","..","","..","","..","","0.008","a,c","..","","..","","..","","..","","..","","..","","0.008","a,c"
"79"," Brazil","..","","..","","..","","..","","..","","..","","..","","..","","0.016","a,b,d,e","..","","..","","..","","0.016","a,b,d,e"
"182"," Burkina Faso","..","","..","","..","","0.519","a","..","","..","","..","","..","","..","","..","","..","","..","","0.519","a"
"185"," Burundi","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.403","a","..","","0.403","a"
"146"," Cambodia","..","","..","","..","","..","","..","","..","","..","","0.170","a","..","","..","","..","","..","","0.170","a"
"150"," Cameroon","..","","..","","..","","..","","..","","..","","..","","0.243","a","..","","..","","..","","..","","0.243","a"
"188"," Central African Republic","..","","..","","..","","0.465","a,d","..","","..","","..","","..","","..","","..","","..","","..","","0.465","a,d"
"187"," Chad","..","","..","","..","","..","","..","","..","","..","","..","","0.533","a","..","","..","","..","","0.533","a"
"85"," China","..","","..","","..","","..","","..","","..","","..","","0.016","a,f,g","..","","..","","..","","..","","0.016","a,f,g"
"79"," Colombia","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.020","a,b","..","","..","","0.020","a,b"
"156"," Comoros","..","","..","","..","","..","","..","","0.181","a","..","","..","","..","","..","","..","","..","","0.181","a"
"138"," Congo","..","","..","","..","","..","","..","","..","","..","","..","","0.112","a","..","","..","","..","","0.112","a"
"179"," Congo (Democratic Republic of the)","..","","..","","..","","..","","..","","..","","..","","0.389","a","..","","..","","..","","..","","0.389","a"
"165"," Côte d'Ivoire","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.236","a","..","","..","","0.236","a"
"89"," Dominican Republic","..","","..","","..","","..","","..","","..","","..","","0.015","a,b","..","","..","","..","","..","","0.015","a,b"
"85"," Ecuador","..","","..","","..","","..","","..","","..","","..","","0.018","a,d","..","","..","","..","","..","","0.018","a,d"
"116"," Egypt","..","","..","","..","","..","","..","","..","","..","","0.019","a,h","..","","..","","..","","..","","0.019","a,h"
"124"," El Salvador","..","","..","","..","","..","","..","","..","","..","","0.032","a","..","","..","","..","","..","","0.032","a"
"138"," Eswatini (Kingdom of)","..","","..","","..","","..","","..","","..","","..","","0.081","a","..","","..","","..","","..","","0.081","a"
"173"," Ethiopia","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.489","a","..","","..","","0.489","a"
"115"," Gabon","..","","..","","..","","..","","..","","0.066","a","..","","..","","..","","..","","..","","..","","0.066","a"
"174"," Gambia","..","","..","","..","","..","","..","","..","","0.286","a","..","","..","","..","","..","","..","","0.286","a"
"142"," Ghana","..","","..","","..","","..","","..","","..","","..","","0.138","a","..","","..","","..","","..","","0.138","a"
"126"," Guatemala","..","","..","","..","","..","","..","","..","","..","","..","","0.134","a","..","","..","","..","","0.134","a"
"174"," Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.336","a","..","","..","","0.336","a"
"178"," Guinea-Bissau","..","","..","","..","","..","","..","","..","","..","","0.372","a","..","","..","","..","","..","","0.372","a"
"123"," Guyana","..","","..","","..","","..","","..","","..","","..","","0.014","a","..","","..","","..","","..","","0.014","a"
"169"," Haiti","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.200","a","..","","0.200","a"
"132"," Honduras","..","","..","","..","","..","","..","","0.090","a,i","..","","..","","..","","..","","..","","..","","0.090","a,i"
"129"," India","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.123","a","..","","..","","0.123","a"
"111"," Indonesia","..","","..","","..","","..","","..","","0.028","a,b","..","","..","","..","","..","","..","","..","","0.028","a,b"
"120"," Iraq","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.033","a","0.033","a"
"96"," Jamaica","..","","..","","..","","..","","..","","..","","..","","0.018","a,c","..","","..","","..","","..","","0.018","a,c"
"102"," Jordan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.002","a","0.002","a"
"50"," Kazakhstan","..","","..","","..","","..","","..","","..","","..","","..","","0.002","a,d","..","","..","","..","","0.002","a,d"
"147"," Kenya","..","","..","","..","","..","","..","","..","","..","","0.178","a","..","","..","","..","","..","","0.178","a"
"122"," Kyrgyzstan","..","","..","","..","","..","","..","","..","","..","","0.008","a","..","","..","","..","","..","","0.008","a"
"140"," Lao People's Democratic Republic","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.108","a","..","","0.108","a"
"164"," Lesotho","..","","..","","..","","..","","..","","..","","..","","0.146","a","..","","..","","..","","..","","0.146","a"
"176"," Liberia","..","","..","","..","","..","","..","","..","","0.320","a","..","","..","","..","","..","","..","","0.320","a"
"110"," Libya","..","","..","","..","","..","","..","","..","","..","","0.007","a","..","","..","","..","","..","","0.007","a"
"162"," Madagascar","..","","..","","0.453","a","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.453","a"
"172"," Malawi","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.243","a","..","","..","","0.243","a"
"104"," Maldives","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.003","a","..","","0.003","a"
"184"," Mali","..","","..","","..","","..","","..","","..","","..","","..","","0.457","a","..","","..","","..","","0.457","a"
"161"," Mauritania","..","","..","","..","","..","","..","","..","","..","","..","","0.261","a","..","","..","","..","","0.261","a"
"76"," Mexico","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.025","a,c","..","","..","","0.025","a,c"
"107"," Moldova (Republic of)","..","","..","","..","","..","","..","","0.004","a","..","","..","","..","","..","","..","","..","","0.004","a"
"92"," Mongolia","..","","..","","..","","..","","..","","..","","0.042","a","..","","..","","..","","..","","..","","0.042","a"
"52"," Montenegro","..","","..","","..","","..","","..","","..","","0.002","a,d","..","","..","","..","","..","","..","","0.002","a,d"
"121"," Morocco","..","","..","","..","","..","","0.085","a,d","..","","..","","..","","..","","..","","..","","..","","0.085","a,d"
"180"," Mozambique","..","","..","","..","","..","","0.411","a","..","","..","","..","","..","","..","","..","","..","","0.411","a"
"145"," Myanmar","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.176","a","..","","..","","0.176","a"
"130"," Namibia","..","","..","","..","","..","","..","","..","","0.171","a","..","","..","","..","","..","","..","","0.171","a"
"147"," Nepal","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.148","a","..","","..","","0.148","a"
"126"," Nicaragua","..","","..","","..","","..","","..","","0.074","a","..","","..","","..","","..","","..","","..","","0.074","a"
"189"," Niger","..","","..","","..","","..","","..","","0.590","a","..","","..","","..","","..","","..","","..","","0.590","a"
"158"," Nigeria","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.291","a","..","","0.291","a"
"82"," North Macedonia","..","","..","","..","","..","","0.010","a,c","..","","..","","..","","..","","..","","..","","..","","0.010","a,c"
"152"," Pakistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.198","a","0.198","a"
"119"," Palestine, State of","..","","..","","..","","..","","..","","..","","..","","0.004","a","..","","..","","..","","..","","0.004","a"
"98"," Paraguay","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.019","a","..","","..","","0.019","a"
"82"," Peru","..","","..","","..","","..","","..","","0.053","a","..","","..","","..","","..","","..","","..","","0.053","a"
"106"," Philippines","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.024","a,b","..","","0.024","a,b"
"157"," Rwanda","..","","..","","..","","..","","..","","..","","..","","..","","0.259","a","..","","..","","..","","0.259","a"
"89"," Saint Lucia","..","","..","","..","","..","","..","","0.007","a,c","..","","..","","..","","..","","..","","..","","0.007","a,c"
"137"," Sao Tome and Principe","..","","..","","..","","..","","..","","..","","..","","0.092","a","..","","..","","..","","..","","0.092","a"
"166"," Senegal","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.288","a","..","","0.288","a"
"63"," Serbia","..","","..","","..","","..","","..","","..","","..","","0.001","a,d","..","","..","","..","","..","","0.001","a,d"
"181"," Sierra Leone","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.297","a","..","","0.297","a"
"113"," South Africa","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.025","a","..","","..","","0.025","a"
"186"," South Sudan","..","","..","","..","","0.580","a","..","","..","","..","","..","","..","","..","","..","","..","","0.580","a"
"168"," Sudan","..","","..","","..","","..","","..","","..","","..","","0.279","a","..","","..","","..","","..","","0.279","a"
"98"," Suriname","..","","..","","..","","0.041","a,c","..","","..","","..","","..","","..","","..","","..","","..","","0.041","a,c"
"154"," Syrian Arab Republic","..","","..","","0.029","a,d","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.029","a,d"
"125"," Tajikistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.029","a","..","","0.029","a"
"159"," Tanzania (United Republic of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.273","a","..","","..","","0.273","a"
"77"," Thailand","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.003","a,d","..","","..","","0.003","a,d"
"131"," Timor-Leste","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.210","a","..","","..","","0.210","a"
"167"," Togo","..","","..","","..","","..","","..","","..","","..","","0.249","a","..","","..","","..","","..","","0.249","a"
"63"," Trinidad and Tobago","..","","..","","..","","..","","0.002","a,d","..","","..","","..","","..","","..","","..","","..","","0.002","a,d"
"91"," Tunisia","..","","..","","..","","..","","..","","0.005","a","..","","..","","..","","..","","..","","..","","0.005","a"
"108"," Turkmenistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.001","a","..","","..","","0.001","a"
"159"," Uganda","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.269","a","..","","..","","0.269","a"
"88"," Ukraine","..","","..","","..","","..","","..","","0.001","a,b","..","","..","","..","","..","","..","","..","","0.001","a,b"
"141"," Vanuatu","0.174","a,d","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.174","a,d"
"118"," Viet Nam","..","","..","","..","","..","","..","","..","","..","","0.019","a,b","..","","..","","..","","..","","0.019","a,b"
"177"," Yemen","..","","..","","..","","..","","..","","..","","0.241","a","..","","..","","..","","..","","..","","0.241","a"
